施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
"医療法人社団利信会上村
産科婦人科医院",012041,北海道,旭川市,43.803471,142.386673,0166-53-1551,http://www.kamimura-clinic.com,071-8121,北海道旭川市末広東1条3丁目1番5号,有,"平日9：00～17：00
水・土9：00～12：00",有
"医療法人社団せせらぎ通り
クリニック",012041,北海道,旭川市,43.797134,142.42215,0166-47-7321,http://www.seseragidoriclinic/com,079-8416,北海道旭川市永山6条11丁目78番地,有,"月・火・水・金8：30～12：00，13：30～
17：00
木・土8：30～12：00",有
"医療法人社団豊和会豊岡
産科婦人科医院",012041,北海道,旭川市,43.760773,142.389816,0166-31-6801,,078-8234,北海道旭川市豊岡4条1丁目1番10号,有,"月・木9：00～19：00
火・水・金9：00～17：00
土9：00～12：00",有
"医療法人社団並木通りクリ
ニック",012041,北海道,旭川市,43.800766,142.371368,0166-59-7390,,070-0873,北海道旭川市春光3条7丁目7番1号,有,"月・火・水・金9：00～19：00
木・土9：00～12：00",有
"医療法人社団みずうち産
科婦人科",012041,北海道,旭川市,43.76025,142.396378,0166-31-6713,https://mizuuchi.or.jp,078-8234,北海道旭川市豊岡4条3丁目2番地3,有,"月・木9：00～12：30，15：00～18：30
火・金9：00～12：30，15：00～18：00
土9：00～12：30",有
旭川レディースクリニック,012041,北海道,旭川市,43.770184,142.351959,0166-25-3110,,070-0033,北海道旭川市3条通2丁目429-683十字屋ビル2Ｆ,有,"月・火・水・金9：00～13：00，14：30～
18：00
木・第１土，第３土，第５土9：00～
11：30",有
"医療法人社団健和会和田
産婦人科医院",012041,北海道,旭川市,43.765575,142.37233,0166-23-3521,http://potato.hokkai.net/-wada/,070-0034,北海道旭川市４条通１５丁目右８号,有,"月・火・水・金9：00～12：00，14：00～
17：30
木・土9：00～12：00",有
小樽市立病院,012033,北海道,小樽市,43.185734,141.007629,0134-25-1211,https://www.otaru-general-hospital.j,047-8550,北海道小樽市若松1丁目1番1号,p有,"平日8:00～17:00
※平日も来院前に必ず事前連絡が
必要。
※土・日は事前連絡にて確認必要、
医師対応可能時のみ。",無
"医療法人社団
新開レディースクリニック",012033,北海道,小樽市,43.198162,140.996521,0134-24-6800,http:www/shinkai-lc.com/,047-0032,北海道小樽市稲穂2丁目9番11号ツルハビル3F,有,"月･火･水･金曜9:00～12:00、14:00～
18:00
第1、3、5土曜9:00～13:00",有
おたるレディースクリニック,012033,北海道,小樽市,43.201809,140.996048,0134-25-0303,www.otaru-ladies.com,047-0032,北海道小樽市稲穂4丁目1番7号,有,"月･木9:00～12:00、14:00～17:00
火･金9:00～12:00、14:00～19:00
水9:00～12:00
土9:00～14:00",有
函館中央病院,012025,北海道,函館市,41.78643,140.751053,0138-52-1231,http://www.chubyou.com/,040-8585,北海道函館市本町33番2号,有,平日 9:00-17:00 土曜 9:00-13:00,有
秋山記念病院,012025,北海道,函館市,41.827518,140.740784,0138-46-6660,http://akiyama.hakodate.jp/,041-0802,北海道函館市石川町41番地9,有,"平日9:00－17:30土9:00－13:30日祝
9:30－11:30",有
市立函館病院,012025,北海道,函館市,41.804401,140.72966,0138-43-2000,"http://www.hospital.hakodate.hokkai
do.jp",041-8680,北海道函館市港町1丁目10番1号,有,平日8:30－11:30,有
共愛会病院,012025,北海道,函館市,41.785488,140.741135,0138-51-2111,http://www.kyoaikai-hosp.com/,040-8577,北海道函館市中島町7番21号,有,"平日9:00－11:30/13:00-16:00土9:00
－11:30",有
岡和田産婦人科医院,012025,北海道,函館市,41.79895,140.73407,0138-42-5588,,040-0072,北海道函館市亀田町20番14号,有,"月火木金9:00－16:30水土9:00－
11:30",有
三浦レディースクリニック,012025,北海道,函館市,41.789986,140.75441,0138-51-2357,,040-0011,北海道函館市本町20番1号,有,"月火木金9:00－12:00/14:00－17:30
水土9:00－12:00",有
"医療法人社団藤松産婦人
科医院",012025,北海道,函館市,41.809357,140.763901,0138-55-2280,,041-0852,北海道函館市鍛治2丁目24番5号,有,"月火金9:00－12:00/14:00-17:00水
9:00－12:00/14:00-18:00木土9:00-
12:00",有
"医療法人社団陵仁会えん
どう桔梗マタニティークリ
ニック",012025,北海道,函館市,41.849117,140.733917,0138-47-3001,http://www.endo-kikyo.or.jp,041-0808,北海道函館市桔梗5丁目7番15号,有,365日24時間,有
"医療法人社団産科婦人科
白鳥クリニック",012025,北海道,函館市,41.795616,140.745911,0138-44-5588,http://www1.ncv.ne.jp/-swan5588/,040-0082,北海道函館市白鳥町13番18号,有,"月火木金9:00－12:00/14:00－17:45
水8:00－11:30午後休診土9:00－
12:00午後休診",有
"医療法人社団明誠会こじま
産婦人科",012025,北海道,函館市,41.813511,140.760696,0138-55-5252,http://kojima-ml.com,041-0832,北海道函館市神山1丁目12番9号,有,平日10:00-18:00土日10:00-12:00,有
湯の川女性クリニック,012025,北海道,函館市,41.780483,140.791321,0138-59-0006,http://www.yunokawa-jc.com,042-0932,北海道函館市湯川町2丁目17番18号,有,"（祝日を除く）月火水金9:00－
12:00/14:00－18:00木土9:00－12:00",有
"産婦人科ほんどおりクリ
ニック",012025,北海道,函館市,41.79707,140.766129,0138-31-5855,,041-0851,北海道函館市本通1丁目44番10号,有,"月火木10:00－12:30/14:00－17:30
水10:00－12:30/14:00－17:30※第
2，第4水曜は午後手術日※第5水曜
は16:30最終受付金10:00－12:30午
後手術日土10:00－12:30午後休診",有
"宮の沢スマイルレディー
スクリニック",011070,北海道,札幌市西区,43.087982,141.275681,011-590-1213,https://www.miyanosawa-smile-lc.co,063-0061,"北海道札幌市西区西町北２０丁目２－１２ SR宮の沢メディ
カルⅡビル２階",m有/,"月・金 9:00～17:00
火・木 9:00～20:00
水・土 9:00～12:00",有
苫小牧市立病院,012130,北海道,苫小牧市,42.653072,141.602753,0144-33-3131,"http://www.city.tomakomai.hokkaido
.jp/hospital/",053-8567,北海道苫小牧市清水町１丁目５番２０号,有,平日８時４５分～１７時１５分,有
